#,#,id,address,microdistrict_id,photo_url,marker,created_at,updated_at,is_deleted,category_id,district_id,sub_category_id,name_kz,name_ru,address_building_id,full_address
69,5520,651315,"пр.Аль-Фараби, 77/8",,,POINT (76.927978 43.219115),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Esentai Fit+Spa,Esentai Fit+Spa,338541,"пр.Аль-Фараби, 77/8"
70,5544,651386,"ул.Орманова, 145",,,POINT (76.982631 43.263556),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Budokan Sports & Arts,Budokan Sports & Arts,212317,"ул.Орманова, 145"
71,5608,651002,"ул.Маркова, 50",,,POINT (76.93449 43.227915),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Спортивная площадка,Спортивная площадка,164913,"ул.Маркова, 50"
72,5610,651870,"ул.Маркова, 50",,,POINT (76.93449 43.227915),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Площадка для воркаута,Площадка для воркаута,164913,"ул.Маркова, 50"
73,5611,649677,"ул.Минусинская, 23",,,POINT (76.934753 43.22807),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Баскетбольная площадка,Баскетбольная площадка,165089,"ул.Минусинская, 23"
74,5624,650065,"мкр.Эдельвейс, 4",183,,POINT (76.954196 43.206407),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Футбольное поле,Футбольное поле,163120,"мкр.Эдельвейс, 4"
75,5649,650502,"ул.Гоголя, 96/98",,,POINT (76.934191 43.258758),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,2,32,Спортивная площадка,Спортивная площадка,165932,"ул.Гоголя, 96/98"
76,5652,651504,"ул.Гоголя, 96/98",,,POINT (76.934191 43.258758),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,2,32,Площадка для воркаута,Площадка для воркаута,165932,"ул.Гоголя, 96/98"
77,5658,651958,"ул.16, 5",131,,POINT (76.91357 43.17048),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Площадка для воркаута,Площадка для воркаута,263459,"ул.16, 5"
78,5668,650776,"ул.Гоголя, 75",,,POINT (76.948296 43.260668),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Спортивная площадка,Спортивная площадка,168549,"ул.Гоголя, 75"
79,5811,649549,"мкр.Мамыр-1, 29",122,,POINT (76.843503 43.211979),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,3,32,Баскетбольная площадка,Баскетбольная площадка,258313,"мкр.Мамыр-1, 29"
80,5824,649684,"ул.Розыбакиева, 247 корпус 6",,,POINT (76.892593 43.20431),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Баскетбольная площадка,Баскетбольная площадка,165207,"ул.Розыбакиева, 247 корпус 6"
